german_word,frequency,translation
leben,167721,life
hatte,162793,had
zeit,160393,time
weil,159743,because
willst,159106,want
kommen,156754,come
dein,155913,your
heute,154162,today
kommt,153845,comes
wollen,152595,want
damit,150635,with it
ganz,149683,quite
wäre,149557,were
wollte,148643,wanted
weißt,147614,know
ok,147191,OK
sicher,145360,secure
gesagt,144870,said
frau,143725,woman
nun,143552,so
bis,142166,until
wurde,141236,became
leid,140641,sorrow
na,140395,n/a
kannst,136795,can
macht,134768,might
dieser,134205,this
zurück,133326,back
lassen,131393,let
hallo,128561,Hello
meinen,128288,mean
gott,127498,God
seine,126038,his
hätte,125345,would have
zwei,122625,two
könnte,117870,could
genau,117667,Exactly
waren,117474,were
zur,115474,to
lass,115316,let
klar,113688,clear
morgen,112042,morning
leute,109956,people
vater,109048,father
schön,106669,nice
glaube,105941,believe
mr.,105640,Mr.
ab,104853,away
gerade,104130,straight
tag,103559,day
gesehen,103106,seen
reden,101992,talk
wohl,100488,probably
liebe,99301,love
sollte,98826,should
sagte,98657,said
unsere,98478,our
jemand,98283,someone
geld,98052,money
durch,97587,through
ob,97001,whether
keinen,96394,none
mutter,95349,mother
raus,95012,out
gemacht,94261,made
paar,93818,couple
mach,93345,do
passiert,93021,happened
dachte,92867,thought
besser,92556,better
musst,92429,must
wieso,92191,how come
sir,92012,sir
dieses,91148,this
selbst,90135,himself
gehört,89459,heard
möchte,89068,want
ohne,88934,without
hör,88336,hear
her,87571,here
sag,87203,say
meiner,86264,mine
anderen,86205,others
helfen,85664,help
nacht,85102,night
finden,83987,find
diesen,83932,this
gute,83835,good
wirst,83791,will
lange,82872,long
natürlich,82710,naturally
ach,82252,Oh
meinem,82233,my
gar,82082,even
ins,80529,into the
sei,80433,be
dort,79951,there
weiter,79598,further
geben,78926,give
seit,78517,since
gleich,78080,even
sagt,78008,says
recht,77861,right
ihren,76796,your
richtig,76789,correct
ordnung,76635,order
vom,76597,from the
hören,76109,hear
sieht,75968,sees
davon,75947,of that
dafür,75302,for that
geh,74468,go
diesem,74234,this
wegen,74062,because of
hause,73059,home
sollten,72777,should
mädchen,72685,girl
hin,72272,there
sollen,71445,should
abend,71375,evening
haus,70976,a house
denke,70824,think
viele,70545,many
drei,69824,three
deinen,69621,your
freund,69586,friend
guten,68866,good
unser,68722,our
warte,68407,wait
machst,67926,do
menschen,67631,people
essen,67594,eat
angst,67249,fear
bleiben,67238,remain
zusammen,66885,together
welt,66821,world
unter,66173,under
habt,66045,have
schnell,66011,fast
andere,65229,other
tot,64995,dead
getan,64404,did
darf,64161,may
erst,64092,first
rein,64028,pure
stimmt,63896,true
nehmen,63773,take
kinder,63716,children
eines,63710,one
glauben,63577,believe
bringen,63285,bring
ganze,62461,whole
genug,62381,enough
scheiße,61982,shit
brauchen,61791,need
gegen,61438,against
moment,61265,moment
junge,60843,boy
steht,60832,stands
sonst,60478,otherwise
musik,59500,music
arbeit,59309,work
seid,58799,are
ihrer,58510,their
fragen,58352,questions
herr,58200,Mr
dabei,57923,included
heißt,57306,is called
familie,57288,family
warten,56911,wait
niemand,56907,no one
sofort,56605,immediately
bevor,56210,before
jahre,56075,years
einmal,55398,once
problem,54783,problem
sohn,54396,son
wann,54105,When
brauche,53799,need
fertig,53738,complete
halt,53723,stop
allein,53720,alone
beim,53673,at the
sprechen,53232,speak
beide,53120,both
gefunden,53083,found
hatten,53008,had
sache,52830,matter
hilfe,52679,help
verdammt,52499,damned
ne,52438,no
jeder,52254,everyone
warst,52211,were
gern,52147,gladly
konnte,51818,could
darüber,51711,about it
halten,51690,hold
siehst,51444,see
verstehe,51294,understand
jahren,51158,years
kam,51041,came
kind,50922,child
wusste,50878,knew
wahr,50700,true
seinen,50311,his
dazu,50144,in addition
bruder,50137,brother
daran,50081,to it
ihrem,50046,their
denken,49912,think
könnten,49708,could
dank,49155,thanks to
würden,49143,would
lieber,49123,Dear
fall,49042,case
deiner,48756,your
sehe,48293,see
egal,48287,doesn't matter
kennen,48114,know
deinem,48010,your
vergessen,47889,forget
frage,47512,ask
mache,47510,make
komme,47282,come
sage,47197,saw
mag,47150,likes
sieh,47133,see
echt,46884,real
gib,46863,give
eigentlich,46744,actually
jeden,46594,every
dad,46472,dad
gab,46178,gave
uhr,46117,clock
stadt,45812,city
männer,45451,men
baby,45434,baby
fahren,45060,drive
namen,44998,names
bekommen,44852,receive
kopf,44851,head
hi,44653,hey
gehe,44502,go
kleine,44338,small
später,44320,later
glück,44295,happiness
letzte,44246,last
freunde,43913,friends
n,43890,n
all,43808,all
darauf,43236,on it
ende,43216,end
dr.,42899,Dr.
bald,42834,soon
töten,42735,kill
dinge,42560,things
meinst,42522,mean
toll,42438,great
eins,42157,one
minuten,42139,minutes
vielen,42047,many
bereit,41925,ready
weit,41558,far
ahnung,41525,idea
seiner,41478,his
bisschen,41471,a little
tür,41457,door
auto,41372,car
jungs,40783,guys
eure,40647,your
augen,40593,eyes
polizei,40572,police
stehen,40469,stand
sterben,40334,die
hätten,40190,would have
draußen,40075,outside
kenne,39750,know
fast,39542,almost
runter,39290,down
vorbei,38763,over
treffen,38758,meet
gerne,38739,gladly
dran,38593,your turn
wurden,38564,became
arbeiten,38510,work
mom,38250,mom
verrückt,38126,crazy
neue,38119,new
ging,38051,went
hinter,37964,behind
sorgen,37844,care for
einzige,37724,only
jemanden,37451,someone
darum,37424,therefore
tochter,37375,daughter
braucht,37187,needs
idee,37181,idea
schwester,37032,sister
drin,36941,inside
ruhig,36940,quiet
sah,36936,saw
ganzen,36929,entire
spät,36834,late
ziemlich,36820,quite
solltest,36770,should
name,36668,name
sogar,36650,even
kurz,36629,short
kerl,36512,guy
frauen,36457,women
liegt,36313,lies
suchen,36294,seek
finde,36286,find
je,36205,each
woher,36061,from where
lang,36029,long
job,35995,job
keiner,35951,none
seinem,35907,his
hört,35796,hears
verstehen,35693,understand
spielen,35600,play
s.,35596,see
überhaupt,35566,at all
teufel,35421,devil
verstanden,35353,understood
verloren,35282,lost
große,35255,size
hand,35247,hand
grund,35243,reason
jahr,35092,year
kommst,34951,come
mama,34883,mama
ruhe,34794,quiet
gewesen,34766,been
tod,34408,death
stunden,34244,hours
hoffe,34207,hope
denkst,34170,think
oben,34115,above
gestern,34095,yesterday
versuchen,34093,attempt
art,34062,type
letzten,34029,last
schatz,34026,treasure
endlich,33924,finally
he,33922,he
nimm,33866,take
etwa,33845,approximately
erzählt,33821,told
läuft,33798,running
schwer,33640,difficult
anders,33554,different
miss,33536,miss
musste,33428,had to
fünf,33424,five
wasser,33387,water
lässt,33377,lets
erste,33254,first
versucht,33190,tried
gekommen,33073,came
geschichte,33070,story
wenig,33015,few
holen,32820,fetch
bedeutet,32688,means
nett,32685,nice
wahrheit,32627,truth
woche,32543,week
bringt,32528,brings
deshalb,32451,for this reason
welche,32349,which
bestimmt,32232,certainly
hoch,32147,high
alter,32101,age
sagst,32048,say
schau,32038,look
ah,31832,uh
land,31728,country
zimmer,31727,room
wagen,31434,dare
vier,31390,four
gefallen,31368,fallen
spaß,31361,fun
niemals,31303,never
schuld,31228,fault
getötet,31223,killed
wollten,31158,wanted
verlassen,31021,leave
zeigen,30869,show
beste,30671,best
ernst,30649,serious
unserer,30644,our
denen,30608,those
ort,30562,location
bleibt,30520,remains
würdest,30516,would
manchmal,30500,sometimes
glaubst,30407,believe
seite,30345,page
lasst,30331,let
zwischen,30326,between
eben,30288,even
während,30284,while
spiel,30057,game
nehme,30019,take
ersten,29956,first
guter,29956,goods
chance,29888,chance
freundin,29850,girlfriend
krieg,29815,war
gefällt,29665,pleases
kleinen,29378,small
erzählen,29301,tell
anderes,29170,other
tage,29111,days
entschuldigen,29089,excuse
wichtig,29007,important
gehst,28954,go
allen,28945,all
bett,28931,bed
mrs.,28822,Mrs.
sachen,28679,things
the,28674,the
schlecht,28460,bad
schule,28409,school
entschuldigung,28406,excuse
wort,28327,word
john,28291,John
hättest,28253,would have
wären,28193,would be
typ,27983,type
schlafen,27946,sleep
äh,27883,uh
tu,27733,you
euer,27634,your
captain,27491,captain
gesicht,27489,face
falls,27447,if
neuen,27364,new
bloß,27288,just
unten,27259,below
teil,27243,part
beiden,27228,both
mensch,27093,person
kleiner,27048,smaller
stellen,26821,place
oft,26820,often
sorge,26812,worries
gedacht,26691,thought
tust,26635,do
trinken,26484,drink
einige,26477,some
dies,26436,this
ding,26389,thing
unseren,26378,our
kriegen,26366,get
blut,26293,blood
ehrlich,26290,honest
eltern,26221,parents
scheint,26026,appears
herz,26008,heart
jack,25967,Jack
glücklich,25915,happy
alte,25827,old
alt,25682,old
bleib,25656,stay
wiedersehen,25645,see you again
frei,25635,free
wen,25569,who
drauf,25564,on it
möglich,25388,possible
irgendwie,25378,somehow
reicht,25343,suffices
fest,25199,firmly
besten,25164,best
waffe,25140,weapon
kaum,25058,barely
irgendwas,24950,something
klingt,24910,sounds
platz,24820,place
brauchst,24773,need
rede,24754,speech
papa,24707,papa
falsch,24701,incorrect
sondern,24687,rather
alten,24660,old
nummer,24641,number
früher,24599,earlier
jungen,24498,young
wohin,24373,where
außer,24306,except
früh,24189,early
setzen,24061,set
zuerst,24005,first
wahrscheinlich,23968,probably
dürfen,23930,may
jede,23900,every
arsch,23823,ass
telefon,23581,phone
tue,23560,do
kennst,23541,know
willkommen,23375,welcome
plan,23291,plan
großen,23269,large
retten,23258,save
hierher,23229,here
wär,23099,would be
bring,23068,bring
fehler,22947,mistake
wollt,22936,want
dollar,22913,dollar
zehn,22855,ten
allem,22790,everything
pass,22790,passport
nächste,22714,next
stunde,22665,hour
hände,22645,hands
gegeben,22620,given
menge,22618,crowd
langsam,22581,slow
bereits,22535,already
wartet,22512,waits
sechs,22454,six
lieben,22407,love
meines,22280,mine
büro,22253,office
nächsten,22247,next
gebe,22215,give
wochen,22080,weeks
ruf,21947,call
schaffen,21929,create
leider,21867,unfortunately
scheiß,21719,shit
hölle,21656,hell
trotzdem,21476,despite it
doktor,21392,doctor
tja,21330,well
new,21321,new
voll,21320,full
film,21254,film
überall,21161,everywhere
hund,21146,dog
geworden,21015,become
direkt,21011,direct
wolltest,20973,wanted
tat,20923,did
denkt,20863,thinks
schiff,20825,ship
neues,20814,new
wem,20802,whom
könig,20785,king
danach,20649,thereafter
funktioniert,20608,functions
hattest,20582,had
lernen,20579,learn
deswegen,20564,because of this
wow,20470,Wow
nennen,20467,to name
hm,20416,Hm
feuer,20404,fire
laufen,20390,run
alleine,20359,alone
erinnern,20326,remember
völlig,20317,fully
kleines,20305,small
könnt,20255,can
stelle,20224,place
kumpel,20189,buddy
verlieren,20125,lose
probleme,20116,problems
spricht,20030,speaks
kaffee,19999,coffee
luft,19958,air
fand,19911,found
i,19718,i
entschuldige,19709,sorry
ziehen,19643,pull
verschwinden,19631,disappear
könntest,19588,could
seht,19586,see
aufhören,19532,stop
eigenen,19530,own
richtige,19499,correct
unserem,19459,our
suche,19440,search
zwar,19381,that is
groß,19362,large
hol,19339,get
buch,19306,book
krank,19265,sick
fühle,19176,feel
jedes,19154,each
verstehst,19139,understand
wert,19128,value
arzt,19080,physician
froh,19077,glad
versuche,18964,try
straße,18963,street
rufen,18953,call
heiraten,18905,marry
super,18808,super
sam,18717,sam
lebt,18642,lives
gutes,18638,good
lasse,18636,let
onkel,18581,uncle
total,18569,total
gebracht,18552,brought
party,18531,party
erklären,18526,explain
spielt,18526,plays
wahl,18477,choice
vertrauen,18459,trust
damals,18434,at that time
tagen,18366,meetings
leicht,18358,light
nachdem,18300,after
gegangen,18296,gone
gefühl,18285,feeling
kaufen,18278,buy
geschafft,18271,done
typen,18217,types
interessiert,18211,interested
möchten,18138,want
halte,18121,hold
hält,18118,holds
glaub,18114,believe
irgendwo,18104,somewhere
stück,18090,piece
genauso,18069,just as
kennt,17994,knows
genommen,17993,taken
zukunft,17963,future
weniger,17950,fewer
cool,17909,cool
licht,17780,light
getroffen,17775,met
himmel,17755,heaven
nachricht,17710,news
drüben,17704,over
passt,17667,fits
sagten,17649,said
kümmern,17618,take care
laut,17612,loud
vergiss,17602,forget
angerufen,17582,called
sitzen,17556,sit
daß,17517,that
erde,17474,earth
großer,17433,large
schlüssel,17425,key
rest,17407,rest
passieren,17383,happen
eher,17329,rather
gefragt,17247,asked
gefängnis,17175,jail
opfer,17150,victim
körper,17147,body
solche,17138,such
mist,17132,crap
mr,17083,Mr.
findet,17000,finds
schreiben,16942,write
böse,16940,evil
gesprochen,16898,spoken
versuch,16884,attempt
vorstellen,16820,introduce
wovon,16791,of which
sobald,16778,as soon as
nochmal,16749,again
herren,16748,men
sex,16739,sex
waffen,16732,weapons
wohnung,16722,apartment
weh,16694,sore
heißen,16650,be called
krankenhaus,16645,hospital
bringe,16621,bring
höre,16609,hear
millionen,16605,millions
klasse,16595,class
hart,16572,hard
worden,16568,been
sinn,16557,sense
außerdem,16556,aside from that
verletzt,16552,injured
ändern,16487,change
erfahren,16462,experience
tragen,16425,carry
wenigstens,16418,at least
vorsichtig,16349,cautious
daddy,16329,daddy
stolz,16247,proud
stark,16208,strong
fällt,16206,falls
möchtest,16205,want
leuten,16172,people
besonders,16170,particularly
schöne,16144,beautiful
schicken,16123,send
person,16074,person
schätze,16063,appreciate
solange,16060,as long as
länger,15996,longer
großartig,15979,great
lacht,15975,laughs
anrufen,15965,call
stand,15933,stand
redest,15893,talking
fühlen,15884,feel
erwartet,15879,expected
boden,15878,floor
boss,15863,boss
stimme,15843,agree
glaubt,15840,believes
still,15835,quiet
sicherheit,15829,security
setz,15786,set
ma,15762,ma
mund,15761,mouth
kämpfen,15639,battle
wisst,15636,know
lachen,15635,laugh
hörst,15623,hear
zeug,15621,things
lustig,15572,funny
umbringen,15552,kill
sollst,15551,should
hasse,15536,hate
schlimm,15521,terrible
o,15521,O
unglaublich,15444,incredible
wärst,15430,would be
laden,15400,load
führen,15362,lead
gestorben,15359,died
schauen,15350,look
meinung,15337,opinion
lesen,15312,read
mörder,15310,murderer
frank,15303,frank
ähm,15268,um
geschehen,15259,happen
geschäft,15254,business
idiot,15243,idiot
verzeihung,15194,forgiveness
fliegen,15169,fly
zeig,15162,show
team,15159,team
general,15146,general
mike,15058,Mike
aufs,15026,on the
york,15009,York
vorher,15005,previously
schluss,15005,ending
schneller,14990,faster
liebt,14978,loves
verdient,14961,earned
mögen,14944,like
meisten,14891,most
denk,14888,think
umgebracht,14878,killed
perfekt,14848,perfect
versprochen,14822,promised
handy,14818,cell phone
hinten,14804,rear
monate,14786,months
erinnere,14769,remember
acht,14757,eight
arbeitet,14747,works
fallen,14704,fall
rufe,14701,call
nötig,14694,necessary
a,14676,a
mord,14671,murder
heraus,14613,out of here
tages,14578,daily
unmöglich,14555,impossible
liebling,14521,darling
charlie,14515,Charlie
tatsächlich,14483,actually
folgen,14452,consequences
bitten,14438,ask
behalten,14372,keep
nähe,14368,vicinity
arbeite,14361,work
joe,14326,Joe
verdammte,14325,damned
plötzlich,14269,suddenly
lebens,14235,life
hole,14206,hole
tisch,14201,table
michael,14165,Michael
hörte,14154,heard
jemals,14154,ever
liegen,14099,lay
verkaufen,14061,sell
gefährlich,14049,dangerous
anfangen,14033,begin
bekommt,14023,receives
machte,13967,made
ha,13954,Ha
hotel,13914,hotel
hilft,13897,helps
werdet,13891,will
meister,13869,master
kampf,13849,battle
antwort,13848,answer
konnten,13846,could
geschickt,13831,sent
jedem,13818,everyone
obwohl,13796,although
sieben,13791,seven
komisch,13783,funny
gewinnen,13778,win
ihres,13762,their
bezahlt,13728,paid
you,13710,you
voller,13701,full
unterwegs,13693,on the way
dumm,13687,dumb
ärger,13682,aggravation
bild,13679,picture
george,13673,George
neu,13659,new
bezahlen,13651,pay
dagegen,13607,against it
seien,13594,be
starb,13560,died
tom,13560,Tom
monaten,13557,months
leiche,13500,corpse
niemanden,13495,no one
auge,13475,eye
arschloch,13441,asshole
verheiratet,13411,married
peter,13405,Peter
zieh,13387,pull
nimmt,13374,takes
gerettet,13362,saved
agent,13322,agent
traum,13300,dream
entscheidung,13275,decision
schlimmer,13255,worse
regeln,13246,regulate
fenster,13233,window
fangen,13232,catch
fort,13175,continued
ständig,13119,constant
findest,13083,find
gefahr,13071,danger
absolut,13045,absolutely
mary,13042,Mary
augenblick,13032,moment
bescheid,13023,notice
rum,12996,rum
gedanken,12995,thoughts
werd,12947,will
ziel,12939,goal
benutzt,12902,used
bewegung,12855,movement
jemandem,12815,someone
wünschte,12812,wished
worte,12811,words
kamen,12804,came
welcher,12787,which
